Id Financeiro;Status cliente;Id cliente (CNPJ);Razão Social;Nome Fantasia (Omie);MRR Atual;Data Cohort;Data Movimento;MRR;Movimento MRR;Tipo Movimento;Status contrato;Id contrato (Omie);Documento;Vigência inicial contrato;Vigência final contrato;Meses vigência;Valor contrato;Tipo Renovação;Índice Renovação;Vendedor;Valor original do MRR;Obs. Contrato;Condição pagamento
31301TABO01;Ativo;3130160000143;TABOCAS PARTICIPAÇÕES EMPREENDIMENTOS S/A;TABOCAS;Não;01/07/2024;01/01/2025;R$ 2.400,00;-R$ 2.400,00;Contraction;Vencido;TABO01;Aditivo;01/01/2025;31/12/2025;12;R$ 28.800,00;Termo Aditivo;IPCA;Carlos;;;Mensal
31301TABO02;Ativo;3130160000143;TABOCAS PARTICIPAÇÕES EMPREENDIMENTOS S/A;TABOCAS;Sim;01/07/2024;01/01/2026;R$ 2.512,34;R$ 112,34;Expansion;Vigente;TABO02;Aditivo;01/01/2026;31/12/2026;12;R$ 30.148,08;Termo Aditivo;IPCA;Carlos;R$ 2.512,34;;Mensal
52045TAM01;Ativo;52045457000116;TAM AVIAÇÃO EXECUTIVA E TÁXI AÉREO S.A;TAM;Não;01/04/2024;01/04/2024;R$ 3.200,00;R$ 3.200,00;New Business;Vencido;TAM01;Contrato;01/04/2024;30/06/2025;15;R$ 48.000,00;Termo Aditivo;IPCA;Carlos;R$ 4.000,00;;Mensal
52045TAM02;Ativo;52045457000116;TAM AVIAÇÃO EXECUTIVA E TÁXI AÉREO S.A;TAM;Sim;01/04/2024;01/07/2025;R$ 4.247,88;R$ 1.047,88;Expansion;Vigente;TAM02;Contrato;01/07/2025;30/06/2026;12;R$ 50.974,56;Termo Aditivo;IPCA;Carlos;R$ 4.247,88;;Mensal
12919TCPT01;Ativo;12919786000124;TCP - TERMINAL DE CONTEINERES DE PARANAGUA S/A;TCP;Não;30/05/2022;30/05/2022;R$ 8.340,00;R$ 8.340,00;New Business;Vencido;TCPT01;Contrato;30/05/2022;29/05/2023;12;R$ 100.080,00;Automática;IPCA;Carlos;;;Mensal
12919TCPT02;Ativo;12919786000124;TCP - TERMINAL DE CONTEINERES DE PARANAGUA S/A;TCP;Não;30/05/2022;30/05/2023;R$ 8.668,60;R$ 328,60;Expansion;Vencido;TCPT02;nd;30/05/2023;29/05/2024;12;R$ 104.023,20;Automática;IPCA;Carlos;;;Mensal
12919TCPT03;Ativo;12919786000124;TCP - TERMINAL DE CONTEINERES DE PARANAGUA S/A;TCP;Sim;30/05/2022;30/05/2024;R$ 9.011,18;R$ 342,58;Expansion;Vigente;TCPT03;Aditivo;30/05/2024;29/05/2026;24;R$ 216.268,32;Automática;IPCA;Carlos;;;Mensal
71996TVVM00;Inativo;7199664000170;TELEVISAO VERDES MARES LTDA;TELEVISAO VERDES MARES;Não;28/10/2020;-;-;-;Implantação;Vencido;TVVM00;Contrato;28/10/2020;28/10/2020;1;R$ 2.500,00;-;-;Carlos;-;;Única
71996TVVM01;Inativo;7199664000170;TELEVISAO VERDES MARES LTDA;TELEVISAO VERDES MARES;Não;28/10/2020;28/10/2020;R$ 5.041,75;R$ 5.041,75;New Business;Vencido;TVVM01;Contrato;28/10/2020;27/10/2021;12;R$ 60.501,00;Termo Aditivo;IGPM;Carlos;;;Mensal
71996TVVM02;Inativo;7199664000170;TELEVISAO VERDES MARES LTDA;TELEVISAO VERDES MARES;Não;28/10/2020;28/10/2021;R$ 5.041,75;R$ 0,00;Expansion;Vencido;TVVM02;Aditivo;28/10/2021;05/05/2022;6;R$ 30.250,50;Termo Aditivo;IGPM;Carlos;;;Mensal
71996TVVM03;Inativo;7199664000170;TELEVISAO VERDES MARES LTDA;TELEVISAO VERDES MARES;Não;28/10/2020;06/05/2022;R$ 4.452,28;-R$ 589,47;Contraction;Vencido;TVVM03;Aditivo;06/05/2022;10/04/2023;11;R$ 48.975,08;Termo Aditivo;IGPM;Carlos;;;Mensal
71996TVVM04;Inativo;7199664000170;TELEVISAO VERDES MARES LTDA;TELEVISAO VERDES MARES;Não;28/10/2020;11/04/2023;R$ 4.452,28;R$ 0,00;Expansion;Vencido;TVVM04;Aditivo;11/04/2023;10/04/2024;12;R$ 53.427,36;Termo Aditivo;IGPM;Carlos;;;Mensal
71996TVVM05;Inativo;7199664000170;TELEVISAO VERDES MARES LTDA;TELEVISAO VERDES MARES;Não;28/10/2020;11/04/2024;R$ 4.613,39;R$ 161,11;Expansion;Vencido;TVVM05;Aditivo;11/04/2024;10/07/2024;3;R$ 13.840,17;Termo Aditivo;IPCA;Carlos;;;Mensal
94271GRUPXX;Inativo;9427183000109;GRUPOCARD COMÉRCIO DE CARTÕES TELEFONICOS LTDA;GRUPOCARD;Não;01/07/2024;17/09/2025;R$ 0,00;-R$ 8.000,00;Churn;Vencido;GRUPXX;;-;-;-;-;-;-;Carlos;-;Valor pro rata ref. ao mês de setembro: R$ 4.533,33;-
